school,count,circuit,address,lat,lng
University of Virginia,2,Eighth,"1827 University Avenue, Charlottesville, VA 22904",38.03662,-78.50258
Amherst College,1,Eighth,"P.O. Box 5000, Amherst, MA 01002-5000",42.37246,-72.51637
Benton College of Law,1,Eighth,"1200 Market St, St. Louis, MO 63103",38.62649,-90.19953
Bridgewater College,1,Eighth,"402 E College St, Bridgewater, VA 22812-1599",38.37801,-78.97105
Columbia University,1,Eighth,"535 West 116th Street, New York, NY 10027",40.80737,-73.96202
Dordt University,1,Eighth,"700 7th St NE, Sioux Center, IA 51250",43.0845,-96.16616
Duke University,1,Eighth,"207 Allen Bldg, Durham, NC 27708",35.99981,-78.94058
Grinnell College,1,Eighth,"1121 Park Street, Grinnell, IA 50112-1690",41.74694,-92.72267
Hamilton College,1,Eighth,"198 College Hill Rd, Clinton, NY 13323",43.05062,-75.40227
Jamestown College,1,Eighth,"6000 College Lane, Jamestown, ND 58405",46.91392,-98.69975
"Lincoln University, Missouri",1,Eighth,"820 Chestnut Street, Jefferson City, MO 65102-0029",38.56479,-92.16956
Loras College,1,Eighth,"1450 Alta Vista, Dubuque, IA 52004-0178",42.50334,-90.68129
New York University,1,Eighth,"70 Washington Square South, New York, NY 10012-1091",40.72966,-73.99702
Northwest Missouri State University,1,Eighth,"800 University Drive, Maryville, MO 64468-6001",40.35236,-94.88193
Northwestern University,1,Eighth,"633 Clark St, Evanston, IL 60208",42.04994,-87.67932
Ouachita Baptist University,1,Eighth,"410 Ouachita St, Arkadelphia, AR 71998-0001",34.12509,-93.05279
Princeton University,1,Eighth,"One Nassau Hall, Princeton, NJ 08544-0015",40.34844,-74.6592
St. John's University,1,Eighth,"8000 Utopia Parkway, Queens, NY 11439",40.72557,-73.79183
St. Louis University,1,Eighth,"One Grand Boulevard, Saint Louis, MO 63103-2097",38.63619,-90.23324
Tabor College,1,Eighth,"400 S Jefferson, Hillsboro, KS 67063-1799",38.34944,-97.20032
University of Cincinnati,1,Eighth,"2600 Clifton Ave, Cincinnati, OH 45221",39.12995,-84.52051
University of Missouri - Kansas City,1,Eighth,"5100 Rockhill Rd, Kansas City, MO 64110",39.03443,-94.57583
University of South Dakota,1,Eighth,"414 E Clark St, Vermillion, SD 57069-2390",42.78261,-96.92495
University of Wisconsin,1,Eighth,"780 Regent St, Madison, WI 53708-8680",43.06842,-89.39851
Washington and Lee University,1,Eighth,"204 West Washington Street, Lexington, VA 24450-2116",37.78614,-79.44369
"Westminster College, Fulton, Missouri",1,Eighth,"501 Westminster Ave, Fulton, MO 65251-1299",38.84776,-91.95435
University of Florida,21,Eleventh,"300 SW 13th Street, Gainesville, FL 32611",29.64944,-82.33979
University of Alabama,10,Eleventh,"801 University Boulevard, Tuscaloosa, AL 35487-0100",33.2096,-87.54717
Emory University,7,Eleventh,"201 Dowman Drive, Atlanta, GA 30322",33.78968,-84.32543
Harvard University,7,Eleventh,"Massachusetts Hall, Cambridge, MA 02138",42.37717,-71.13507
University of Georgia,7,Eleventh,"456 East Broad Street, Athens, GA 30602",33.95785,-83.37302
University of Virginia,6,Eleventh,"1827 University Avenue, Charlottesville, VA 22904",38.03662,-78.50258
Cornell University,5,Eleventh,"300 Day Hall, Ithaca, NY 14853",42.44723,-76.4831
Samford University,3,Eleventh,"800 Lakeshore Drive, Birmingham, AL 35229-2240",33.4617,-86.79492
University of Miami,3,Eleventh,"1252 Memorial Drive, 230 Ashe Bldg., Coral Gables, FL 33124-4600",25.72186,-80.27808
University of Pennsylvania,3,Eleventh,"1 College Hall, Room 100, Philadelphia, PA 19104-6303",39.95117,-75.1938
Stetson University,2,Eleventh,"421 N Woodland Blvd, DeLand, FL 32723",29.03489,-81.30313
University of Notre Dame,2,Eleventh,"Main Building, Notre Dame, IN 46556",41.70331,-86.23874
Yale University,2,Eleventh,"105 Wall Street, New Haven, CT 06520",41.31115,-72.92677
Auburn University,1,Eleventh,"107 Samford Hall, Auburn University, AL 36849",32.60446,-85.48188
College of William and Mary,1,Eleventh,"Sadler Center, 200 Stadium Dr, Williamsburg, VA 23185",37.27266,-76.71349
Columbia University,1,Eleventh,"535 West 116th Street, New York, NY 10027",40.80737,-73.96202
Davidson College,1,Eleventh,"209 Ridge Road, Davidson, NC 28035",35.50165,-80.84019
Duke University,1,Eleventh,"207 Allen Bldg, Durham, NC 27708",35.99981,-78.94058
Florida A&M University,1,Eleventh,"1601 South Martin Luther King Jr. Boulevard, Tallahassee, FL 32307",30.42682,-84.28512
Florida International University,1,Eleventh,"11200 SW 8th Street, Miami, FL 33199",25.7566,-80.37608
Florida State University,1,Eleventh,"222 South Copeland Street, Tallahassee, FL 32306-1470",30.4421,-84.2948
Goucher College,1,Eleventh,"1021 Dulaney Valley Road, Baltimore, MD 21204-2794",39.4094,-76.60051
Howard University,1,Eleventh,"2400 Sixth St NW, Washington, DC 20059-0001",38.92314,-77.02158
Mercer University,1,Eleventh,"1501 Mercer University Drive, Macon, GA 31207",32.82596,-83.65375
"Queens College, City University of New York",1,Eleventh,"65 30 Kissena Blvd, Queens, NY 11367-0904",40.73281,-73.81479
Randolph College,1,Eleventh,"2500 Rivermont Ave, Lynchburg, VA 24503-1526",37.43888,-79.17147
Rollins College,1,Eleventh,"1000 Holt Ave, Winter Park, FL 32789-4499",28.59219,-81.34627
Spring Hill College,1,Eleventh,"4000 Dauphin St, Mobile, AL 36608-1791",30.68574,-88.13515
"St. Joseph's College, Jensen Beach, Florida",1,Eleventh,"1912 NE Jensen Beach Blvd. Jensen Beach, Florida 34957",27.24389,-80.22659
St. Petersburg College,1,Eleventh,"P. O. Box 13489, Largo, FL 33760",27.91604,-82.79084
Stanford University,1,Eleventh,"450 Serra Mall, Stanford, CA 94305-2061",37.42765,-122.17006
Tulane University,1,Eleventh,"6823 Saint Charles Avenue, New Orleans, LA 70118-5698",29.93661,-90.12199
University of Denver,1,Eleventh,"2199 S. University Blvd, Denver, CO 80208",39.67664,-104.96142
University of Louisiana at Monroe,1,Eleventh,"700 University Avenue, Monroe, LA 71209-0000",32.52829,-92.07553
University of Maryland,1,Eleventh,"Main Administration Building, College Park, MD 20742-0001",38.98615,-76.94014
University of South Carolina,1,Eleventh,"206 Osborne Administration Building, Columbia, SC 29208",34.01112,-81.02084
Wake Forest University,1,Eleventh,"1834 Wake Forest Road, Winston Salem, NC 27106",36.13703,-80.27384
Washington University in St. Louis,1,Eleventh,"One Brookings Dr, Saint Louis, MO 63130",38.64788,-90.3022
Washington and Lee University,1,Eleventh,"204 West Washington Street, Lexington, VA 24450-2116",37.78614,-79.44369
Columbia University,10,Federal,"535 West 116th Street, New York, NY 10027",40.80737,-73.96202
Harvard University,10,Federal,"Massachusetts Hall, Cambridge, MA 02138",42.37717,-71.13507
Yale University,9,Federal,"105 Wall Street, New Haven, CT 06520",41.31115,-72.92677
Georgetown University,8,Federal,"37th and O St NW, Washington, DC 20057",38.9087,-77.0103
University of Michigan,7,Federal,"2074 Fleming Administration Building, Ann Arbor, MI 48109-1340",42.27583,-83.74312
University of Texas,6,Federal,"110 Inner Campus Drive, Austin, TX 78712",30.2865,-97.73939
Washington University in St. Louis,6,Federal,"One Brookings Dr, Saint Louis, MO 63130",38.64788,-90.3022
University of Pennsylvania,5,Federal,"1 College Hall, Room 100, Philadelphia, PA 19104-6303",39.95117,-75.1938
Duke University,4,Federal,"207 Allen Bldg, Durham, NC 27708",35.99981,-78.94058
University of Virginia,4,Federal,"1827 University Avenue, Charlottesville, VA 22904",38.03662,-78.50258
Massachusetts Institute of Technology,3,Federal,"77 Massachusetts Avenue, Cambridge, MA 02139-4307",42.35903,-71.0934
Catholic University of America,2,Federal,"620 Michigan Avenue, NE, Washington, DC 20064",38.93283,-76.99786
Indiana University,2,Federal,"107 S. Indiana Ave., Bloomington, IN 47405-7000",39.16642,-86.52679
New York University,2,Federal,"70 Washington Square South, New York, NY 10012-1091",40.72966,-73.99702
Rensselaer Polytechnic Institute,2,Federal,"110 8th St, Troy, NY 12180-3590",42.73119,-73.6832
University of South Carolina,2,Federal,"206 Osborne Administration Building, Columbia, SC 29208",34.01112,-81.02084
American University,1,Federal,"4400 Massachusetts Avenue N.W., Washington, DC 20016",38.93624,-77.08622
Baylor University,1,Federal,"1320 S 7th Street, Waco, TX 76798",31.54561,-97.12164
Brigham Young University,1,Federal,"Main Campus, Provo, UT 84602",40.25238,-111.64952
Case Western Reserve University,1,Federal,"10900 Euclid Ave, Cleveland, OH 44106",41.5059,-81.60905
College of William and Mary,1,Federal,"Sadler Center, 200 Stadium Dr, Williamsburg, VA 23185",37.27266,-76.71349
Cornell University,1,Federal,"300 Day Hall, Ithaca, NY 14853",42.44723,-76.4831
Creighton University,1,Federal,"2500 California Plaza, Omaha, NE 68178",41.26533,-95.94935
Judge Advocate General's Legal Center and School,1,Federal,"600 Massie Rd, Charlottesville, VA 22903",38.05391,-78.50585
Kenyon College,1,Federal,"106 College-Park Street, Gambier, OH 43022",40.37445,-82.39647
Loyola University Chicago,1,Federal,"820 N Michigan Ave, Chicago, IL 60611",41.89748,-87.625
Michigan State University,1,Federal,"450 Administration Bldg., East Lansing, MI 48824-1046",42.72965,-84.48068
Missouri State University,1,Federal,"901 S National, Springfield, MO 65897",37.19855,-93.27846
Pomona College,1,Federal,"550 North College Avenue, Claremont, CA 91711-6301",34.09914,-117.7148
Princeton University,1,Federal,"One Nassau Hall, Princeton, NJ 08544-0015",40.34844,-74.6592
South Texas College of Law,1,Federal,"1303 San Jacinto St, Houston, TX 77002-7000",29.75308,-95.36515
Temple University,1,Federal,"1801 North Broad Street, Philadelphia, PA 19122-6096",39.98027,-75.15705
Tulane University,1,Federal,"6823 Saint Charles Avenue, New Orleans, LA 70118-5698",29.93661,-90.12199
University of Arizona,1,Federal,"1401 E University, Tucson, AZ 85721-0066",32.2322,-110.95061
"University of California, Berkeley",1,Federal,"200 California Hall, Berkeley, CA 94720-1500",37.87162,-122.26035
"University of California, Los Angeles",1,Federal,"405 Hilgard Ave, Los Angeles, CA 90095",34.07394,-118.43802
University of Chicago,1,Federal,"5801 S Ellis Ave, Chicago, IL 60637",41.79006,-87.59982
University of Florida,1,Federal,"300 SW 13th Street, Gainesville, FL 32611",29.64944,-82.33979
University of Illinois Chicago,1,Federal,"601 S. Morgan St. ; M/C 102, Chicago, IL 60607-7128",41.87396,-87.65161
University of Iowa,1,Federal,"101 Jessup Hall, Iowa City, IA 52242-1316",41.66237,-91.53662
University of New Mexico,1,Federal,"University of New Mexico, Albuquerque, NM 87131",35.0876,-106.62193
University of North Carolina,1,Federal,"103 South Bldg Campus Box 9100, Chapel Hill, NC 27599",35.90882,-79.05217
University of North Texas,1,Federal,"1155 Union Circle #311277, Denton, TX 76203",33.21091,-97.14639
University of Rochester,1,Federal,"Wallis Hall, Rochester, NY 14627",43.12952,-77.62805
University of Wisconsin,1,Federal,"780 Regent St, Madison, WI 53708-8680",43.06842,-89.39851
Vassar College,1,Federal,"Box 1, Raymond Avenue, Poughkeepsie, NY 12604-0002",41.69598,-73.90168
Williams College,1,Federal,"880 Main St, Williamstown, MA 01267",42.71229,-73.20305
University of Texas,29,Fifth,"110 Inner Campus Drive, Austin, TX 78712",30.2865,-97.73939
Harvard University,16,Fifth,"Massachusetts Hall, Cambridge, MA 02138",42.37717,-71.13507
University of Mississippi,15,Fifth,"P.O. Box 1848, University, MS 38677-1848",34.36688,-89.53683
Louisiana State University,11,Fifth,"University Administration, Baton Rouge, LA 70808",30.45401,-91.18419
Tulane University,9,Fifth,"6823 Saint Charles Avenue, New Orleans, LA 70118-5698",29.93661,-90.12199
University of Alabama,8,Fifth,"801 University Boulevard, Tuscaloosa, AL 35487-0100",33.2096,-87.54717
University of Virginia,8,Fifth,"1827 University Avenue, Charlottesville, VA 22904",38.03662,-78.50258
Millsaps College,7,Fifth,"1701 N State St, Jackson, MS 39210-0001",32.32348,-90.17982
Yale University,7,Fifth,"105 Wall Street, New Haven, CT 06520",41.31115,-72.92677
Duke University,6,Fifth,"207 Allen Bldg, Durham, NC 27708",35.99981,-78.94058
University of Georgia,6,Fifth,"456 East Broad Street, Athens, GA 30602",33.95785,-83.37302
Washington and Lee University,6,Fifth,"204 West Washington Street, Lexington, VA 24450-2116",37.78614,-79.44369
Baylor University,5,Fifth,"1320 S 7th Street, Waco, TX 76798",31.54561,-97.12164
Mercer University,5,Fifth,"1501 Mercer University Drive, Macon, GA 31207",32.82596,-83.65375
Washington University in St. Louis,5,Fifth,"One Brookings Dr, Saint Louis, MO 63130",38.64788,-90.3022
Columbia University,4,Fifth,"535 West 116th Street, New York, NY 10027",40.80737,-73.96202
Emory University,4,Fifth,"201 Dowman Drive, Atlanta, GA 30322",33.78968,-84.32543
Cornell University,3,Fifth,"300 Day Hall, Ithaca, NY 14853",42.44723,-76.4831
Samford University,3,Fifth,"800 Lakeshore Drive, Birmingham, AL 35229-2240",33.4617,-86.79492
Loyola University New Orleans,2,Fifth,"6363 Saint Charles Ave, New Orleans, LA 70118-6143",29.93398,-90.12145
Princeton University,2,Fifth,"One Nassau Hall, Princeton, NJ 08544-0015",40.34844,-74.6592
Rice University,2,Fifth,"6100 S Main, Houston, TX 77005",29.66014,-95.44187
Stetson University,2,Fifth,"421 N Woodland Blvd, DeLand, FL 32723",29.03489,-81.30313
Syracuse University,2,Fifth,"Crouse Hinds Hall, Suite 600, Syracuse, NY 13244-2130",43.08219,-76.1561
University of Denver,2,Fifth,"2199 S. University Blvd, Denver, CO 80208",39.67664,-104.96142
University of Florida,2,Fifth,"300 SW 13th Street, Gainesville, FL 32611",29.64944,-82.33979
University of Houston,2,Fifth,"4800 Calhoun Rd., Houston, TX 77204-2018",29.7187,-95.33775
University of Maryland,2,Fifth,"Main Administration Building, College Park, MD 20742-0001",38.98615,-76.94014
University of Notre Dame,2,Fifth,"Main Building, Notre Dame, IN 46556",41.70331,-86.23874
Auburn University,1,Fifth,"107 Samford Hall, Auburn University, AL 36849",32.60446,-85.48188
Birmingham-Southern College,1,Fifth,"900 Arkadelphia Road, Birmingham, AL 35254",33.51574,-86.85158
Centre College,1,Fifth,"600 W Walnut St, Danville, KY 40422-1394",37.64488,-84.77743
Dartmouth College,1,Fifth,"207 Parkhurst Hall, Hanover, NH 03755",43.70251,-72.28799
Dillard University,1,Fifth,"2601 Gentilly Blvd, New Orleans, LA 70122",29.99348,-90.06647
Florida A&M University,1,Fifth,"1601 South Martin Luther King Jr. Boulevard, Tallahassee, FL 32307",30.42682,-84.28512
Florida Institute of Technology,1,Fifth,"150 West University Boulevard, Melbourne, FL 32901-6975",28.06413,-80.62403
Goucher College,1,Fifth,"1021 Dulaney Valley Road, Baltimore, MD 21204-2794",39.4094,-76.60051
Howard University,1,Fifth,"2400 Sixth St NW, Washington, DC 20059-0001",38.92314,-77.02158
Jones County Junior College,1,Fifth,"900 S Court St., Ellisville, MS 39437",31.59807,-89.19967
Louisiana Tech University,1,Fifth,"305 Wisteria, Ruston, LA 71272",32.52674,-92.64905
Mississippi College,1,Fifth,"200 South Capitol Street, Clinton, MS 39058",32.33817,-90.33162
Rollins College,1,Fifth,"1000 Holt Ave, Winter Park, FL 32789-4499",28.59219,-81.34627
San Antonio College,1,Fifth,"1819 North Main Avenue, San Antonio, TX 78212-4299",29.4462,-98.49435
Smith College,1,Fifth,"College Hall 201, Northampton, MA 01063",40.6965,-75.20789
St. Petersburg College,1,Fifth,"P. O. Box 13489, Largo, FL 33760",27.91604,-82.79084
Stanford University,1,Fifth,"450 Serra Mall, Stanford, CA 94305-2061",37.42765,-122.17006
Texas Southmost College,1,Fifth,"80 Fort Brown, Brownsville, TX 78520",25.90071,-97.49216
University of Chicago,1,Fifth,"5801 S Ellis Ave, Chicago, IL 60637",41.79006,-87.59982
University of Michigan,1,Fifth,"2074 Fleming Administration Building, Ann Arbor, MI 48109-1340",42.27583,-83.74312
University of Nebraska,1,Fifth,"2504 9th Avenue, Kearney, NE 68849-1201",40.70092,-99.09409
University of Pennsylvania,1,Fifth,"1 College Hall, Room 100, Philadelphia, PA 19104-6303",39.95117,-75.1938
University of South Carolina,1,Fifth,"206 Osborne Administration Building, Columbia, SC 29208",34.01112,-81.02084
University of the South,1,Fifth,"735 University Avenue, Sewanee, TN 37383-1000",35.20473,-85.92161
Vanderbilt University,1,Fifth,"2101 West End Avenue, Nashville, TN 37240",36.15015,-86.80151
Harvard University,34,First,"Massachusetts Hall, Cambridge, MA 02138",42.37717,-71.13507
University of Virginia,9,First,"1827 University Avenue, Charlottesville, VA 22904",38.03662,-78.50258
Columbia University,8,First,"535 West 116th Street, New York, NY 10027",40.80737,-73.96202
Boston University,5,First,"One Silber Way, 8th Floor, Boston, MA 02215",42.34959,-71.10068
St. John's College,4,First,"60 College Avenue, Annapolis, MD 21401",38.98252,-76.49263
Brown University,3,First,"1 Prospect St, Providence, RI 02912",41.82532,-71.40438
Yale University,3,First,"105 Wall Street, New Haven, CT 06520",41.31115,-72.92677
Bates College,2,First,"2 Andrews Road, Lewiston, ME 04240",44.107,-70.20534
Bowdoin College,2,First,"5700 College Station - President's Office, Brunswick, ME 04011-8448",43.90664,-69.964
College of the Holy Cross,2,First,"One College Street, 119 Fenwick Hall, Worcester, MA 01610-2395",42.23424,-71.81085
University of Pennsylvania,2,First,"1 College Hall, Room 100, Philadelphia, PA 19104-6303",39.95117,-75.1938
Amherst College,1,First,"P.O. Box 5000, Amherst, MA 01002-5000",42.37246,-72.51637
Brandeis University,1,First,"415 South St., MS 100, Waltham, MA 02453-2700",42.3648,-71.25795
Dartmouth College,1,First,"207 Parkhurst Hall, Hanover, NH 03755",43.70251,-72.28799
Georgetown University,1,First,"37th and O St NW, Washington, DC 20057",38.9087,-77.0103
Haverford College,1,First,"370 Lancaster Ave, Haverford, PA 19041-1392",40.01219,-75.29989
Plymouth State University,1,First,"17 High Street, MSC #1 - Speare Building, Plymouth, NH 03264",43.75977,-71.68991
Stanford University,1,First,"450 Serra Mall, Stanford, CA 94305-2061",37.42765,-122.17006
Suffolk University,1,First,"73 Tremont Street, Boston, MA 02108",42.35782,-71.06081
Tufts University,1,First,"Ballou Hall, 2nd Floor, Medford, MA 02155",42.41091,-71.08953
Wellesley College,1,First,"106 Central St, Wellesley, MA 02481-8203",42.29579,-71.29902
Williams College,1,First,"880 Main St, Williamstown, MA 01267",42.71229,-73.20305
University of Virginia,15,Fourth,"1827 University Avenue, Charlottesville, VA 22904",38.03662,-78.50258
University of South Carolina,11,Fourth,"206 Osborne Administration Building, Columbia, SC 29208",34.01112,-81.02084
Boston University,8,Fourth,"One Silber Way, 8th Floor, Boston, MA 02215",42.34959,-71.10068
Harvard University,7,Fourth,"Massachusetts Hall, Cambridge, MA 02138",42.37717,-71.13507
New York University,6,Fourth,"70 Washington Square South, New York, NY 10012-1091",40.72966,-73.99702
University of North Carolina,6,Fourth,"103 South Bldg Campus Box 9100, Chapel Hill, NC 27599",35.90882,-79.05217
West Virginia University,6,Fourth,"Presidents Office Box 6201, Morgantown, WV 26506-6201",39.65529,-79.95817
University of Maryland,5,Fourth,"Main Administration Building, College Park, MD 20742-0001",38.98615,-76.94014
Davidson College,4,Fourth,"209 Ridge Road, Davidson, NC 28035",35.50165,-80.84019
Duke University,4,Fourth,"207 Allen Bldg, Durham, NC 27708",35.99981,-78.94058
Wofford College,4,Fourth,"429 N Church St, Spartanburg, SC 29303-3663",34.95746,-81.9375
Yale University,4,Fourth,"105 Wall Street, New Haven, CT 06520",41.31115,-72.92677
Johns Hopkins University,3,Fourth,"3400 N Charles St, Baltimore, MD 21218-2688",39.32913,-76.61805
Wake Forest University,3,Fourth,"1834 Wake Forest Road, Winston Salem, NC 27106",36.13703,-80.27384
Washington and Lee University,3,Fourth,"204 West Washington Street, Lexington, VA 24450-2116",37.78614,-79.44369
Columbia University,2,Fourth,"535 West 116th Street, New York, NY 10027",40.80737,-73.96202
Georgetown University,2,Fourth,"37th and O St NW, Washington, DC 20057",38.9087,-77.0103
University of Michigan,2,Fourth,"2074 Fleming Administration Building, Ann Arbor, MI 48109-1340",42.27583,-83.74312
University of Pennsylvania,2,Fourth,"1 College Hall, Room 100, Philadelphia, PA 19104-6303",39.95117,-75.1938
Washington University in St. Louis,2,Fourth,"One Brookings Dr, Saint Louis, MO 63130",38.64788,-90.3022
Bridgewater College,1,Fourth,"402 E College St, Bridgewater, VA 22812-1599",38.37801,-78.97105
Cornell University,1,Fourth,"300 Day Hall, Ithaca, NY 14853",42.44723,-76.4831
Furman University,1,Fourth,"3300 Poinsett Highway, Greenville, SC 29613-6162",34.92487,-82.4333
Hampden-Sydney College,1,Fourth,"College Road, Box 128, Hampden-Sydney, VA 23943-0128",37.24151,-78.45947
Hampton University,1,Fourth,"200 William R. Harvey Way, Hampton, VA 23668-0099",37.01625,-76.32304
Kenyon College,1,Fourth,"106 College-Park Street, Gambier, OH 43022",40.37445,-82.39647
Macalester College,1,Fourth,"1600 Grand Avenue, St. Paul, MN 55105-1899",44.93994,-93.16798
Marquette University,1,Fourth,"Clark Hall, Room 341 530 N. 16th Street PO Box 1881, Milwaukee, WI 53201-1881",43.02566,-88.04598
Marshall University,1,Fourth,"1 John Marshall Dr, Huntington, WV 25755",38.42229,-82.42999
Rhodes College,1,Fourth,"2000 North Parkway, Memphis, TN 38112-1690",35.15272,-89.99265
St. Bonaventure University,1,Fourth,"Route 417, St. Bonaventure, NY 14778",42.08045,-78.4787
